slug,title,LGSL,LGIL,district,county,unitary
after-school-holiday-club,After school and holiday clubs,18,,True,True,True
alcohol-licence-your-area,Alcohol licensing in your area,860,8,True,False,True
appeal-council-housing-decision,Appeal against your council's housing decision,90,,True,False,True
appeal-housing-benefit-decision,Appeal a Housing Benefit decision,72,,True,False,True
appeal-parking-fine,Appeal a parking fine,471,,True,True,True
apply-allotment,Apply for an allotment,510,,True,False,True
apply-council-tax-reduction,Apply for Council Tax Reduction,63,,True,False,True
apply-direct-payments,Apply for direct payments,287,,False,True,True
apply-disabled-facilities-grant,Apply for a Disabled Facilities Grant,137,,True,False,True
apply-dropped-kerb,Apply for a dropped kerb,477,,False,True,True
apply-for-child-performance-licence,Apply for a child performance licence,48,,False,True,True
apply-for-community-alarm,Apply for a community alarm,313,,True,False,True
apply-for-council-housing,Apply for council housing,92,,True,False,True
apply-for-council-tax-discount,Apply for a Council Tax discount,59,,True,False,True
apply-for-disabled-bus-pass,Apply for a disabled person's bus pass,280,,False,True,True
apply-for-elderly-person-bus-pass,Apply for an older person's bus pass,273,,False,True,True
apply-for-primary-school-place,Apply for a primary school place,13,,False,True,True
apply-for-secondary-school-place,Apply for a secondary school place,14,,False,True,True
apply-for-sheltered-housing,Apply for sheltered housing,230,,True,True,True
apply-foster-child-council,Apply to foster a child through your council,159,,False,True,True
apply-free-school-meals,Apply for free school meals,4,,False,True,True
apply-funding-community-project,Apply for funding for community projects,615,,True,True,True
apply-hold-street-party,Apply to hold a street party,1580,,True,True,True
apply-home-equipment-for-disabled,Apply for equipment for your home if you're disabled,178,,False,True,True
apply-housing-benefit-from-council,Housing Benefit information from your council,69,8,True,False,True
apply-needs-assessment-social-services,Apply for a needs assessment by social services,209,,False,True,True
apply-school-transport-for-child-with-special-educational-needs-sen,Apply for school transport for a child with special educational needs,40,,False,True,True
apply-short-term-care-for-child,Apply for short-term care for your child,260,,False,True,True
apply-swap-homes-council,Swap your council or housing association home,88,,True,False,True
apply-to-adopt-child-through-council,Apply to adopt a child through your council,160,,False,True,True
apply-work-home-conservation-area,Apply to do work on your home if you're in a conservation area,512,,True,False,True
apply-work-on-protected-tree,Apply to work on a tree that's protected,508,,True,False,True
