slug,title,LGSL,LGIL
after-school-holiday-club,After school and holiday clubs,18,
alcohol-licence-your-area,Alcohol licensing in your area,860,
appeal-council-housing-decision,Appeal against your council's housing decision,90,
appeal-housing-benefit-decision,Appeal a Housing Benefit decision,72,
appeal-parking-fine,Appeal a parking fine,471,
appeal-school-admission-decision,Appeal a school admission decision,705,
apply-allotment,Apply for an allotment,510,
apply-building-regulation-approval-from-council,Apply for building regulations approval from your council,499,
apply-council-tax-reduction,Apply for Council Tax Benefit,63,
apply-direct-payments,Apply for direct payments,287,
apply-disabled-facilities-grant,Apply for a Disabled Facilities Grant,137,
apply-dropped-kerb,Apply for a dropped kerb,477,
apply-for-child-performance-licence,Apply for a performance licence,48,
apply-for-community-alarm,Apply for a community alarm,313,
apply-for-council-housing,Apply for council housing,92,
apply-for-council-tax-discount,Apply for a Council Tax discount,59,
apply-for-disabled-bus-pass,Apply for a disabled person's bus pass,280,
apply-for-elderly-person-bus-pass,Apply for an elderly person's bus pass,273,
apply-for-primary-school-place,Apply for a primary school place,13,
apply-for-secondary-school-place,Apply for a secondary school place,14,
apply-for-sheltered-housing,Apply for sheltered housing,230,
apply-foster-child-council,Apply to foster a child through your council,159,
apply-free-school-meals,Apply for free school meals,4,
apply-funding-community-project,Apply for funding for community projects,615,
apply-hold-street-party,Apply to hold a street party,1580,
apply-home-equipment-for-disabled,Apply for equipment for your home if you're disabled,178,
apply-housing-benefit-from-council,Housing Benefit information from your council,69,8
apply-needs-assessment-social-services,Apply for a needs assessment by social services,209,
apply-school-transport-for-child-with-special-educational-needs-sen,Apply for school transport for a child with special educational needs,40,
apply-short-term-care-for-child,Apply for short-term care for your child,260,
apply-special-educational-needs-assessment,Apply for a special educational needs assessment,9,
apply-swap-homes-council,Apply to swap homes through your council,88,
apply-to-adopt-child-through-council,Apply to adopt a child through your council,160,
apply-vote-proxy-local-electoral-office,Apply to vote by proxy,361,
apply-work-home-conservation-area,Apply to do work on your home if you're in a conservation area,512,
apply-work-on-protected-tree,Apply to work on a tree that's protected,508,
apply-youth-opportunity-funding,Apply for Youth Opportunity Funding,1116,
asbestos-in-home,Asbestos in your home,415,
blue-badge-scheme-information-council,Blue Badge scheme: information from your council,279,
book-internet-access-at-library,Book internet access in your library,442,
chaperone-child-performers,Become a licensed chaperone for child performers,631,
